COD_DIS;COD_DIS_TX;NOMBRE;DISTRI_MAY;DISTRI_MT;Area
1;01;Centro;CENTRO;CENTRO;5228245,508729999884963
2;02;Arganzuela;ARGANZUELA;ARGANZUELA;6462175,914049999788404
3;03;Retiro;RETIRO;RETIRO;5466211,190949999727309
4;04;Salamanca;SALAMANCA;SALAMANCA;5392404,098229999653995
5;05;Chamartín;CHAMARTIN;CHAMARTÍN;9175482,124730000272393
6;06;Tetuán;TETUAN;TETUÁN;5374725,250060000456870
7;07;Chamberí;CHAMBERI;CHAMBERÍ;4679185,067400000058115
8;08;Fuencarral - El Pardo;FUENCARRAL - EL PARDO;FUENCARRAL - EL PARDO;237838267,088999986648560
9;09;Moncloa - Aravaca;MONCLOA - ARAVACA;MONCLOA - ARAVACA;46586949,555399999022484
10;10;Latina;LATINA;LATINA;25410387,598000001162291
11;11;Carabanchel;CARABANCHEL;CARABANCHEL;14048315,852800000458956
12;12;Usera;USERA;USERA;7777716,754399999976158
13;13;Puente de Vallecas;PUENTE DE VALLECAS;PUENTE DE VALLECAS;14968605,871400000527501
14;14;Moratalaz;MORATALAZ;MORATALAZ;6103167,754300000146031
15;15;Ciudad Lineal;CIUDAD LINEAL;CIUDAD LINEAL;11425677,959400000050664
16;16;Hortaleza;HORTALEZA;HORTALEZA;27623983,983899999409914
17;17;Villaverde;VILLAVERDE;VILLAVERDE;20194322,832600001245737
18;18;Villa de Vallecas;VILLA DE VALLECAS;VILLA DE VALLECAS;51410671,328699998557568
19;19;Vicálvaro;VICALVARO;VICÁLVARO;34841911,311099998652935
20;20;San Blas - Canillejas;SAN BLAS - CANILLEJAS;SAN BLAS - CANILLEJAS;22289894,997699998319149
21;21;Barajas;BARAJAS;BARAJAS;41716342,840499997138977
