id_distrito_fecha_hora_trunc;fecha_hora_truncada_accidente;cod_distrito;intensidad_vehiculos
01-2023-01-01 03:00:00;2023-01-01 03:00:00;1;1254.93
01-2023-01-01 08:00:00;2023-01-01 08:00:00;1;587.4
01-2023-01-02 07:00:00;2023-01-02 07:00:00;1;1180.99
01-2023-01-02 11:00:00;2023-01-02 11:00:00;1;1903.71
01-2023-01-02 15:00:00;2023-01-02 15:00:00;1;1803.43
01-2023-01-02 19:00:00;2023-01-02 19:00:00;1;1941.09
01-2023-01-02 22:00:00;2023-01-02 22:00:00;1;1357.1
01-2023-01-03 09:00:00;2023-01-03 09:00:00;1;1797.17
01-2023-01-03 21:00:00;2023-01-03 21:00:00;1;1732.58
01-2023-01-04 15:00:00;2023-01-04 15:00:00;1;1976.07
01-2023-01-04 19:00:00;2023-01-04 19:00:00;1;2009.41
01-2023-01-05 11:00:00;2023-01-05 11:00:00;1;2243.64
01-2023-01-05 12:00:00;2023-01-05 12:00:00;1;2308.15
01-2023-01-05 17:00:00;2023-01-05 17:00:00;1;1616.7
01-2023-01-05 20:00:00;2023-01-05 20:00:00;1;1329.84
01-2023-01-06 02:00:00;2023-01-06 02:00:00;1;858.12
01-2023-01-06 11:00:00;2023-01-06 11:00:00;1;1228.38
01-2023-01-06 15:00:00;2023-01-06 15:00:00;1;1484.86
01-2023-01-06 19:00:00;2023-01-06 19:00:00;1;1980.99
01-2023-01-07 07:00:00;2023-01-07 07:00:00;1;906.43
01-2023-01-08 00:00:00;2023-01-08 00:00:00;1;1661.36
01-2023-01-08 13:00:00;2023-01-08 13:00:00;1;1862.0
01-2023-01-08 18:00:00;2023-01-08 18:00:00;1;1751.38
01-2023-01-08 20:00:00;2023-01-08 20:00:00;1;1647.55
01-2023-01-09 14:00:00;2023-01-09 14:00:00;1;2239.39
01-2023-01-10 16:00:00;2023-01-10 16:00:00;1;2164.89
01-2023-01-11 20:00:00;2023-01-11 20:00:00;1;2215.83
01-2023-01-12 09:00:00;2023-01-12 09:00:00;1;2386.71
01-2023-01-12 11:00:00;2023-01-12 11:00:00;1;2321.02
01-2023-01-12 12:00:00;2023-01-12 12:00:00;1;2271.99
01-2023-01-12 13:00:00;2023-01-12 13:00:00;1;2216.48
01-2023-01-12 14:00:00;2023-01-12 14:00:00;1;2374.24
01-2023-01-12 15:00:00;2023-01-12 15:00:00;1;2310.1
01-2023-01-12 19:00:00;2023-01-12 19:00:00;1;2464.97
01-2023-01-13 11:00:00;2023-01-13 11:00:00;1;2350.94
01-2023-01-13 13:00:00;2023-01-13 13:00:00;1;2400.0
01-2023-01-14 00:00:00;2023-01-14 00:00:00;1;1590.16
01-2023-01-14 06:00:00;2023-01-14 06:00:00;1;848.62
01-2023-01-14 14:00:00;2023-01-14 14:00:00;1;2291.72
01-2023-01-14 22:00:00;2023-01-14 22:00:00;1;1990.63
01-2023-01-14 23:00:00;2023-01-14 23:00:00;1;1735.51
01-2023-01-15 00:00:00;2023-01-15 00:00:00;1;1642.7
01-2023-01-15 16:00:00;2023-01-15 16:00:00;1;1573.08
01-2023-01-16 12:00:00;2023-01-16 12:00:00;1;2274.32
01-2023-01-16 13:00:00;2023-01-16 13:00:00;1;2214.58
